Post_id	Comment_id	CQ	Usefullness	Category
1776005	3624974	are you trying to proceed without using the fact I mentioned in the last sentence, or did you want a proof of that fact? I think your problem is not much less general than the fact as I gave it, so proving the general case ($\epsilon_i$ not restricted to be linear) might be unavoidable.	2	Combination
1653396	3372759	Um... so you're asking if you can leave _the notation for the thing you're defining_ out of the definition? Then it seems that no useful definition is left.	2	Combination
60136	139202	Complex or real?  If complex, you need $(x^*Ay)(y^*Ax)$ on the left.	3	Combination
2190671	4506878	I guess this is part of the proof of Theorem 6 in Chapter 3.4 of the PDE book by L. C. Evans. Am I right? In that case, the integral for q goes from $x$ to $+\infty$.	3	Combination
4341373	9056226	@DonThousand Are you reading $\exists!$ as "there's no"? I think it's usually read as "there's exactly one" (or possibly "there's at most one" in some sources).	3	Combination
1835294	3752997	The convenience is assuming they are disjoint, so that you don't have to go through the process of formally making them disjoint, which may just make notation in the proof messier if carried out. I am not really sure what you have a problem with anymore: you know what disjoint union is, you know about free product of disjoint sets, so what is your problem with that making the groups disjoint? $G*G$ is just a name for a group which is the free product of disjoint copies of $G$ (which you should know how to do if you know the disjoint union of sets)	3	Combination
1282964	2604898	Is $k$ an unknown constant between selections, or a uniformly distributed random variable realised on each trial?	3	Combination
1462223	2977842	Well why didn't you write that, then, if that's what you want to do? You didn't even mention parity. Please edit the question so that it can be undertstood without having to read the comments. Also, I don't see what in that description corresponds to your $\lt$ relations.	3	Combination
2119652	4359305	Now, prove that $Im (f)=U_\infty$. Do you need any help with it?	3	Combination
1795060	3664841	It's "prove" not "proove" and "number" is ambiguous (natural? rational? real? complex? ordinal?).	3	Combination
3118852	6425756	Why are you concluding with "thus $ab = 0$? That's unnecessary. We already assumed that, and it's not what we're after. And don't use $a^{-1}$ until you have assumed that $a\neq 0$.	2	Combination
1796754	3668557	How do you deduce $\frac{f(2k)}{2} \geq \frac{f(a_1)+f(a_2)}{4}$? You have $a_1+a_2=2k$, so $f(2k)=f(a_1+a_2) \leq f(a_1)+f(a_2)$...	2	Combination
2697552	5569905	The dirac delta function is a distribution, and thus takes a function for it's input. I am not sure what you are doing here. Also, how do you obtain $f^{-1}(u)=x^\prime -x$? Are you assuming that $f$ is linear?	2	Combination
2752458	5678343	If the tests have different weight then wouldn't your teacher adjust the denominator accordingly? e.g, if you got 29 out of 35 points on Test 2 but 22 out of 22 on Test 4, then dropping Test 2 would lower your denominator by 35 points whereas dropping Test 4 would lower your denominator by only 22.	2	Combination
3612783	7426161	Do you mean $A\mathbf{x} = \mathbf{0}$? And what is gf(2)?	1	Combination
1414359	2881746	Linear as in admitting a faithful finite-dimensional representation? Well, what do you thiink about the problem?	1	Combination
